player_id,web_name,team,gameweek,opponent,was_home,minutes,goals_scored,assists,clean_sheets,total_points,expected_goals,expected_assists,influence,creativity,threat,value,selected,transfers_in,transfers_out
8,J.Timber,Arsenal,3,LIV,0,90,0,0,0,2,0.09,0.05,11.4,12.4,11.0,56,828444,509691,60339
8,J.Timber,Arsenal,4,NFO,1,90,0,0,1,8,0.3,0.02,19.8,13.0,35.0,57,1235377,380134,69593
8,J.Timber,Arsenal,5,MCI,1,79,0,0,0,1,0.0,0.05,17.0,13.9,8.0,57,1494975,300378,61324
8,J.Timber,Arsenal,6,NEW,0,90,0,0,0,2,0.53,0.21,24.6,38.2,25.0,58,1679103,250497,93628
8,J.Timber,Arsenal,7,WHU,1,90,0,1,1,11,0.16,0.03,20.2,16.8,29.0,58,1910147,274109,77109
8,J.Timber,Arsenal,8,FUL,0,90,0,0,1,6,0.0,0.15,16.8,31.8,6.0,59,2468281,553581,44130
8,J.Timber,Arsenal,9,CRY,1,90,0,0,1,6,0.0,0.04,11.8,16.7,2.0,60,2724017,290738,40401
8,J.Timber,Arsenal,10,BUR,0,90,0,0,1,6,0.19,0.01,5.4,1.2,17.0,61,3109667,381364,41361
8,J.Timber,Arsenal,11,SUN,0,90,0,0,0,1,0.0,0.03,13.0,6.3,8.0,61,3193975,161573,65927
8,J.Timber,Arsenal,12,TOT,1,90,0,1,0,5,0.5,0.04,15.0,14.8,20.0,62,3668658,523928,84087
8,J.Timber,Arsenal,13,CHE,0,90,0,0,0,2,0.3,0.03,10.2,3.1,6.0,63,3857248,370539,47350
8,J.Timber,Arsenal,14,BRE,1,46,0,0,0,1,0.0,0.0,7.0,0.3,0.0,64,4310049,317562,23916
8,J.Timber,Arsenal,15,AVL,0,90,0,0,0,3,0.23,0.01,24.0,1.8,4.0,64,4349352,166824,76098
8,J.Timber,Arsenal,16,WOL,1,90,0,0,0,2,0.19,0.02,8.0,16.5,10.0,65,4143467,370255,559772
8,J.Timber,Arsenal,17,EVE,0,90,0,0,1,6,0.46,0.07,9.0,13.3,21.0,65,4194778,124131,150665
8,J.Timber,Arsenal,18,BHA,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,65,4304991,156936,67920
8,J.Timber,Arsenal,19,AVL,1,82,0,1,1,9,0.3,0.01,21.2,22.3,26.0,64,3390691,14991,689857
8,J.Timber,Arsenal,20,BOU,0,90,0,0,0,3,0.0,0.01,31.6,22.3,4.0,64,3646955,137081,144173
8,J.Timber,Arsenal,21,LIV,1,90,0,0,1,6,0.0,0.02,11.0,3.7,8.0,63,3459669,73112,245859
8,J.Timber,Arsenal,22,NFO,0,90,0,0,1,5,0.1,0.02,0.4,2.2,6.0,63,3596176,211829,106822
8,J.Timber,Arsenal,23,MUN,1,90,0,0,0,1,0.0,0.01,5.4,2.3,2.0,63,3616868,101467,78271
8,J.Timber,Arsenal,24,LEE,0,90,0,0,1,5,0.14,0.21,8.6,16.5,9.0,63,3583337,148485,184251
8,J.Timber,Arsenal,25,SUN,1,90,0,0,1,6,0.0,0.02,11.6,3.2,2.0,64,3790180,235244,59158
8,J.Timber,Arsenal,26,WOL,0,90,0,0,0,1,0.0,0.03,13.2,8.1,6.0,64,4060996,321351,67672
8,J.Timber,Arsenal,27,TOT,0,56,0,1,0,3,0.0,0.2,25.8,38.2,4.0,64,3851321,44580,223828
8,J.Timber,Arsenal,28,CHE,1,90,1,0,0,8,0.41,0.01,2.6,10.7,0.0,64,3584211,27745,294077
8,J.Timber,Arsenal,29,BHA,0,90,0,1,1,13,0.0,0.07,36.4,20.8,2.0,63,3618020,74756,64342
8,J.Timber,Arsenal,30,EVE,1,37,0,0,0,1,0.0,0.01,7.0,1.6,2.0,63,3756345,155714,25768
16,Saka,Arsenal,1,MUN,0,90,0,0,1,3,0.15,0.09,12.0,16.4,7.0,100,1602493,0,0
16,Saka,Arsenal,2,LEE,1,52,1,0,0,6,0.11,0.03,40.4,30.4,21.0,100,1870918,152171,108463
16,Saka,Arsenal,3,LIV,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,99,783017,55049,1041722
16,Saka,Arsenal,4,NFO,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,98,500371,5237,373266
16,Saka,Arsenal,5,MCI,1,45,0,0,0,1,0.04,0.21,5.6,32.3,7.0,98,415767,1687,97481
16,Saka,Arsenal,6,NEW,0,69,0,0,0,2,0.08,0.01,4.4,11.4,30.0,98,603258,223085,52864
16,Saka,Arsenal,7,WHU,1,90,1,0,1,8,0.84,1.11,38.8,23.6,31.0,98,1011817,404709,32013
16,Saka,Arsenal,8,FUL,0,90,0,0,1,7,0.07,0.55,28.8,80.3,44.0,99,1559467,571887,39030
16,Saka,Arsenal,9,CRY,1,65,0,0,1,3,0.02,0.01,2.2,1.9,3.0,100,2012889,477223,28838
16,Saka,Arsenal,10,BUR,0,90,0,0,1,3,0.58,0.06,12.4,24.3,40.0,101,2182241,223126,72708
16,Saka,Arsenal,11,SUN,0,90,1,0,0,12,0.52,0.19,49.6,36.7,46.0,101,2135802,95331,135605
16,Saka,Arsenal,12,TOT,1,90,0,0,0,4,0.11,0.09,17.4,27.3,21.0,101,2270799,182099,71665
16,Saka,Arsenal,13,CHE,0,90,0,1,0,5,0.19,0.58,22.0,16.6,27.0,101,2073709,82727,117746
16,Saka,Arsenal,14,BRE,1,29,1,0,0,6,0.6,0.01,38.0,1.8,34.0,101,2275134,99865,61118
16,Saka,Arsenal,15,AVL,0,78,0,1,0,4,0.58,0.31,12.6,46.3,36.0,101,2285578,103575,82454
16,Saka,Arsenal,16,WOL,1,90,0,2,0,11,0.03,0.42,21.6,59.5,14.0,102,2874708,584479,105002
16,Saka,Arsenal,17,EVE,0,90,0,0,1,3,0.29,0.06,16.0,19.9,32.0,103,2904022,193870,97255
16,Saka,Arsenal,18,BHA,1,90,0,1,0,7,0.64,0.3,36.2,52.3,75.0,103,2770188,114662,218263
16,Saka,Arsenal,19,AVL,1,82,0,1,1,6,0.38,0.02,0.0,13.0,15.0,103,2647811,73133,145837
16,Saka,Arsenal,20,BOU,0,23,0,1,0,4,0.02,0.23,21.0,36.0,9.0,103,2783025,129842,86725
16,Saka,Arsenal,21,LIV,1,77,0,0,1,3,0.13,0.02,4.8,3.8,18.0,102,2600220,44570,207720
